sample,rsr,memory_size
1,0.9473684210526315,0
2,0.9473684210526315,0
3,0.9473684210526315,1
4,0.9473684210526315,1
5,0.9473684210526315,1
6,0.9473684210526315,1
7,0.9473684210526315,0
8,0.9473684210526315,0
9,0.9473684210526315,0
10,0.9473684210526315,0
11,0.9473684210526315,0
12,0.9473684210526315,0
13,0.9473684210526315,1
14,0.9473684210526315,1
15,0.9473684210526315,1
16,0.9473684210526315,1
17,0.9473684210526315,1
18,0.9473684210526315,1
19,0.9473684210526315,1
20,0.9473684210526315,1
21,0.9473684210526315,1
22,0.9473684210526315,1
23,0.9473684210526315,1
24,0.9473684210526315,1
25,0.9473684210526315,1
26,0.9473684210526315,1
27,0.9473684210526315,1
28,0.9473684210526315,1
29,0.9473684210526315,1
30,0.9473684210526315,1
31,0.9473684210526315,1
32,0.9473684210526315,1
33,0.9473684210526315,1
34,0.9473684210526315,1
35,0.9473684210526315,1
36,0.9473684210526315,1
37,0.9473684210526315,1
38,0.9473684210526315,1
39,0.9473684210526315,1
40,0.9473684210526315,1
41,0.9473684210526315,2
42,0.9473684210526315,2
43,0.9473684210526315,2
44,0.9473684210526315,2
45,0.9473684210526315,2
46,0.9473684210526315,2
47,0.9473684210526315,2
48,0.9473684210526315,2
49,0.9473684210526315,2
50,0.9473684210526315,2
51,0.9473684210526315,2
52,0.9473684210526315,2
53,0.9473684210526315,2
54,0.9473684210526315,2
55,0.9473684210526315,3
56,0.9473684210526315,3
57,0.9473684210526315,3
58,0.9473684210526315,3
59,0.9473684210526315,3
60,0.9473684210526315,3
61,0.9473684210526315,3
62,0.9473684210526315,3
63,0.9473684210526315,3
64,0.9473684210526315,3
65,0.9473684210526315,4
66,0.9473684210526315,4
67,0.9473684210526315,4
68,0.9473684210526315,4
69,0.9473684210526315,4
70,0.9473684210526315,4
71,0.9473684210526315,4
72,0.9473684210526315,4
73,0.9473684210526315,4
74,0.9473684210526315,4
75,0.9473684210526315,4
76,0.9473684210526315,4
77,0.9473684210526315,4
78,0.9473684210526315,4
79,0.9473684210526315,4
80,0.9473684210526315,4
81,0.9473684210526315,4
82,0.9473684210526315,4
83,0.9473684210526315,4
84,0.9473684210526315,4
85,0.9473684210526315,4
86,0.9473684210526315,4
87,0.9473684210526315,4
88,0.9473684210526315,5
89,0.9473684210526315,5
90,0.9473684210526315,5
91,0.9473684210526315,5
92,0.9473684210526315,5
93,0.9473684210526315,5
94,0.9473684210526315,5
95,0.9473684210526315,5
96,0.9473684210526315,5
97,0.9473684210526315,5
98,0.9473684210526315,5
99,0.9473684210526315,5
100,0.9473684210526315,5
101,0.9473684210526315,5
102,0.9473684210526315,5
103,0.9473684210526315,5
104,0.9473684210526315,5
105,0.9473684210526315,5
106,0.9473684210526315,5
